"Subject" "actlabel" "tBodyAcc-mean()-X" "tBodyAcc-mean()-Y" "tBodyAcc-mean()-Z" "tBodyAcc-std()-X" "tBodyAcc-std()-Y" "tBodyAcc-std()-Z" "tGravityAcc-mean()-X" "tGravityAcc-mean()-Y" "tGravityAcc-mean()-Z" "tGravityAcc-std()-X" "tGravityAcc-std()-Y" "tGravityAcc-std()-Z" "tBodyAccJerk-mean()-X" "tBodyAccJerk-mean()-Y" "tBodyAccJerk-mean()-Z" "tBodyAccJerk-std()-X" "tBodyAccJerk-std()-Y" "tBodyAccJerk-std()-Z" "tBodyGyro-mean()-X" "tBodyGyro-mean()-Y" "tBodyGyro-mean()-Z" "tBodyGyro-std()-X" "tBodyGyro-std()-Y" "tBodyGyro-std()-Z" "tBodyGyroJerk-mean()-X" "tBodyGyroJerk-mean()-Y" "tBodyGyroJerk-mean()-Z" "tBodyGyroJerk-std()-X" "tBodyGyroJerk-std()-Y" "tBodyGyroJerk-std()-Z" "tBodyAccMag-mean()" "tBodyAccMag-std()" "tBodyAccJerkMag-mean()" "tBodyAccJerkMag-std()" "tBodyGyroMag-mean()" "tBodyGyroMag-std()" "tBodyGyroJerkMag-mean()" "tBodyGyroJerkMag-std()" "fBodyAcc-mean()-X" "fBodyAcc-mean()-Y" "fBodyAcc-mean()-Z" "fBodyAcc-std()-X" "fBodyAcc-std()-Y" "fBodyAcc-std()-Z" "fBodyAccJerk-mean()-X" "fBodyAccJerk-mean()-Y" "fBodyAccJerk-mean()-Z" "fBodyAccJerk-std()-X" "fBodyAccJerk-std()-Y" "fBodyAccJerk-std()-Z" "fBodyGyro-mean()-X" "fBodyGyro-mean()-Y" "fBodyGyro-mean()-Z" "fBodyGyro-std()-X" "fBodyGyro-std()-Y" "fBodyGyro-std()-Z" "fBodyAccMag-mean()" "fBodyAccMag-std()" "fBodyBodyAccJerkMag-mean()" "fBodyBodyAccJerkMag-std()" "fBodyBodyGyroMag-mean()" "fBodyBodyGyroMag-std()" "fBodyBodyGyroJerkMag-mean()" "fBodyBodyGyroJerkMag-std()"
1 "LAYING" 0.0894539618958333 -0.049044651636875 -0.128357153083333 -0.218884627041667 -0.0901391872708333 -0.232079210179167 0.640472555625 -0.0402996208333333 0.00200582347708333 -0.791098272916667 -0.809828475479167 -0.794505698958333 0.0979768511875 0.0464723835083333 0.00499943257916667 -0.370328331595833 -0.3689306985625 -0.580553638333333 0.0352172502664583 -0.126784233463125 0.162033637166667 -0.5126476575625 -0.414962785645833 -0.352380470833333 -0.0461831816033333 -0.0786049168735417 -0.099029184925 -0.54663852975 -0.619895459791667 -0.560627053541667 -0.0918141078154167 -0.202015930791667 -0.3879532114 -0.388622682495833 -0.196121166547917 -0.389199333758333 -0.581563664375 -0.629853126104167 -0.273176263291667 -0.178904828520833 -0.358492791104167 -0.199984851625 -0.107012643958333 -0.231796616625 -0.398040066875 -0.394745794833333 -0.54946139875 -0.398618439916667 -0.384243308125 -0.610686664604167 -0.426953650416667 -0.4647326654375 -0.3463981366625 -0.54280220180625 -0.395409887441667 -0.417413331083333 -0.206981596479167 -0.330518243104167 -0.357263543560417 -0.438251507020833 -0.463327510479167 -0.450909839895833 -0.615542733541667 -0.677182484583333
1 "SITTING" 0.0799393209650794 -0.0274916892936508 -0.1093814804 -0.241009629833333 -0.127645402811111 -0.272067741398413 0.70947045715873 -0.0500061425761905 0.078442264297619 -0.79906706215873 -0.834836284285714 -0.736405518968254 0.136682777984127 0.0800096088688889 -0.0286653599063492 -0.383285894881746 -0.363743049536508 -0.629120105238095 0.00354020337396826 -0.119577015666667 0.111741670003968 -0.537075693571429 -0.46428790084127 -0.395862161190476 -0.0997150162746032 -0.105913870126984 -0.140975387857143 -0.561480023174603 -0.656781349301587 -0.556865994571429 -0.134535661726984 -0.177672504365079 -0.421604600876191 -0.385174823666667 -0.270607873793651 -0.408148900142857 -0.613542109809524 -0.64318130452381 -0.282368851328571 -0.186416641049206 -0.386061414095238 -0.226891888292063 -0.155766233663492 -0.274108032107936 -0.39966549 -0.397070679457143 -0.59362388 -0.423016714333333 -0.371095612287619 -0.664178848095238 -0.450895295142857 -0.503576672387302 -0.368074588326984 -0.567674036301587 -0.451179252 -0.463490702095238 -0.204409173701587 -0.297260549063492 -0.36123594644127 -0.423007926957143 -0.480839558133333 -0.466560464580952 -0.640882244634921 -0.672774274603175
1 "STANDING" -0.0518739034390244 -0.0417369842087805 0.0158290092182927 -0.279867284230488 -0.088401460217439 -0.257300958029268 0.53225897495122 0.0735201334390244 0.14575884815122 -0.625737774207317 -0.752293274097561 -0.66145883097561 0.174204631947561 -0.0801688597353659 -0.027795418395122 -0.483535953741463 -0.43176963845122 -0.646289681041463 -0.0355646350162195 -0.103998441236585 0.13337789156939 -0.511307408012195 -0.500311674743902 -0.426412236951219 -0.0680572360229268 -0.0998453424182927 -0.0682061448119268 -0.623578570085366 -0.691344271936585 -0.630246546987805 -0.0729257256585366 -0.0571310073195122 -0.496924195280488 -0.4467532685 -0.304788143634146 -0.4054910555 -0.662725675 -0.675487780158537 -0.336425703718293 -0.192110320376829 -0.392429821293902 -0.26089370896439 -0.101693571908537 -0.253384607246341 -0.500358844189024 -0.452239478654878 -0.606917080487805 -0.513622708590244 -0.450101381926829 -0.685250797170732 -0.463260683479268 -0.534611482621951 -0.432677729756098 -0.53165663985 -0.488703872158537 -0.480755829378049 -0.175083527792683 -0.156448631463415 -0.433360354158537 -0.470829817641463 -0.501265112597561 -0.450867717329268 -0.671621535353659 -0.706239831670732
1 "WALKING" 0.107764113983051 -0.0275540841932203 -0.12496346720339 -0.148484485610169 -0.0461079409583051 -0.248623827 0.772566922050847 -0.0999544153898305 -0.0342187066383559 -0.880742524576271 -0.845441931576271 -0.832714911711864 0.148780152740678 0.0057544901779661 -0.00462236825423729 -0.287778344694915 -0.271906724537288 -0.570470188915254 0.0125542454627119 -0.105752169654237 0.0727506010933898 -0.466331067033898 -0.440491341971186 -0.343944622813559 -0.0553376038983051 -0.0705407594745763 -0.0950815743508475 -0.512269667650847 -0.624473558474576 -0.502735100779661 -0.0557762549830508 -0.111024953118644 -0.33222455749322 -0.275885509219661 -0.222124601084746 -0.367278985084746 -0.570920193508475 -0.600758856101695 -0.198310364984746 -0.098891878279661 -0.350474180084746 -0.131235906762712 -0.0828943437152542 -0.258077310508475 -0.300767392388136 -0.298294179132203 -0.527113383254237 -0.340564302647458 -0.2941822161 -0.613420343728814 -0.377957667830508 -0.465789320288136 -0.319086601610169 -0.497685786728814 -0.435577867152542 -0.417961791225424 -0.117569499808475 -0.249753835813559 -0.249455269152542 -0.319336522452542 -0.430288762884746 -0.438681178254237 -0.597258984745763 -0.635420172610169
1 "WALKING_DOWNSTAIRS" 0.12139463806383 -0.0044186121387234 -0.0977115237957447 -0.135256558702128 -0.0252966807638298 -0.239383059842128 0.813168482297872 -0.128026002685957 -0.00818461257446808 -0.87583817106383 -0.836323148361702 -0.83559295787234 0.104806520553191 0.0273034516282979 0.0207186996021277 -0.289580043823404 -0.302333143170213 -0.560989018723404 0.0132027214021277 -0.10462671706383 0.11651040687766 -0.486985452170213 -0.41388087927234 -0.330298598765957 -0.0452240578895745 -0.10968743053617 -0.0793522357148936 -0.505135876553191 -0.613015675148936 -0.494418158034043 -0.0534941542787234 -0.0749368123191489 -0.339661130002128 -0.282005423491489 -0.218511674538723 -0.35694761452766 -0.565881239468085 -0.597472432468085 -0.19436464793617 -0.0965667402765957 -0.32811831993617 -0.115090046423404 -0.0544828475531915 -0.256932892851064 -0.322612375878723 -0.331960705638298 -0.515555974765957 -0.319910032157447 -0.318800428340426 -0.606256931276596 -0.381416883085106 -0.450899784529787 -0.307031512191489 -0.52293725576383 -0.402098191595745 -0.403813971191489 -0.0955160017553191 -0.212317602276596 -0.263300168551064 -0.314551935753192 -0.424700353489362 -0.426451226623404 -0.596309416074468 -0.62908784706383
1 "WALKING_UPSTAIRS" 0.130180291458333 -0.0405735647314583 -0.108086642291667 -0.1215984431875 -0.0430370113958333 -0.229723638572917 0.769897301875 -0.1347739855625 -0.0203178790375 -0.908629114375 -0.878352901541667 -0.858328512916667 0.0833896203479167 -0.01032186601875 -0.0677207045916667 -0.228095105170833 -0.228158475602083 -0.519924746541667 -0.02191397475 -0.117315487604167 0.12093992008125 -0.401770006166667 -0.350083771854167 -0.2741904047875 -0.109272125958333 -0.0835117919239583 -0.142272747854167 -0.45099756075 -0.551538700208333 -0.434823584683333 -0.0340607371125 -0.101904392479167 -0.28245057266875 -0.213389828083333 -0.13687162825625 -0.291158439791667 -0.500647730729167 -0.540066842208333 -0.135900385770833 -0.0838167971916667 -0.313322368166667 -0.118698866833333 -0.08495514086875 -0.251223966916667 -0.24083430840625 -0.257397962891667 -0.470346507458333 -0.286823564645833 -0.251574194645833 -0.56948483545625 -0.298308291083333 -0.3815340963125 -0.240257454520833 -0.4383568555625 -0.343205282914583 -0.357178282929167 -0.0868040349375 -0.254997967441667 -0.199876168645833 -0.239531912041667 -0.360164179016667 -0.37216912225 -0.533567958666667 -0.582717553520833
2 "LAYING" 0.17153923 -0.0256479802409259 -0.0921401417962963 -0.227537203894444 -0.107247999357407 -0.252100966438889 0.847046396851852 -0.170817412888889 -0.0494937886407407 -0.931409894814815 -0.904779580740741 -0.882836394259259 0.118023356803704 0.0134564413222222 0.0338150323277778 -0.329497689061111 -0.329268655853704 -0.573853529203704 0.0310449391796296 -0.102433556987963 0.115626306959259 -0.524238189262963 -0.425520032240741 -0.321892850625926 -0.0681343009442593 -0.114065893209259 -0.12829558812963 -0.558011960740741 -0.626939918518518 -0.5712896425 -0.130986830455556 -0.223531945314815 -0.367704542344444 -0.327260066851852 -0.249215868662963 -0.396941780633333 -0.591044130555556 -0.633515991092593 -0.260702084209444 -0.164197685111111 -0.366183488185185 -0.217031082622222 -0.137574418103704 -0.255874134114815 -0.348121578 -0.354485379166667 -0.534847237407407 -0.372428902 -0.348655716825926 -0.611923611092593 -0.4392849425 -0.458682910777778 -0.346044506303704 -0.554146286833333 -0.416853029425926 -0.38132996527037 -0.209938183888889 -0.355459737896296 -0.303775529566667 -0.36508265536037 -0.469152455666667 -0.45695067737037 -0.623999553481482 -0.673587581666667
2 "SITTING" 0.17925641195122 -0.0219900352068293 -0.125159648487805 -0.134800480658537 -0.00427023852195122 -0.189398906163415 0.873668512926829 -0.187777323460976 -0.11739115804878 -0.944378099512195 -0.92786640097561 -0.896871113170732 0.0997354292439024 0.0621428043658537 0.0599962665707317 -0.242817100019512 -0.199995775317073 -0.528357885195122 0.0402168589780488 -0.108360285029268 0.0639566258292683 -0.421078229243902 -0.321328526731707 -0.270886061390244 -0.0989457073829268 -0.0530566583195122 -0.0727189356 -0.459396257317073 -0.545025984878049 -0.44354434704878 -0.0363411147341463 -0.136568266 -0.276887175942195 -0.225994414414634 -0.165780560195122 -0.321883843346341 -0.498892584146341 -0.528173192195122 -0.179032821609756 -0.0591835472292683 -0.308330273121951 -0.120036204619512 -0.0422346564463415 -0.19622167487561 -0.278658450704878 -0.241114148365854 -0.484212372963415 -0.274540192368293 -0.210939074829268 -0.572114886020488 -0.330658211463415 -0.375687423414634 -0.2511169 -0.453754280341463 -0.301493108292683 -0.348831478707317 -0.1322877731 -0.276172672870732 -0.203907631419512 -0.263039504141463 -0.37715686404878 -0.406789525243902 -0.531580336829268 -0.558848271707317
2 "STANDING" 0.1836855148 -0.020587043224 -0.11867616312 -0.211416351188 -0.10089762058 -0.28807153248 0.7284721654 -0.13847528452 0.034611765998 -0.942274834 -0.928533916 -0.8927153162 0.08802362572 0.03190536534 -0.0166005144168 -0.27456067233 -0.29664915315 -0.558389760298 -0.116466819566 -0.045898451162 0.078255884529 -0.46864280644 -0.407866093064 -0.34458239082 -0.049988746734 -0.05812609384 -0.049692677612 -0.51998460358 -0.6026866059572 -0.50934139638 -0.12307146156 -0.21226039764 -0.321845638092 -0.287157391886 -0.235970967232 -0.334389387386 -0.560237925622 -0.5911642949972 -0.22252170578 -0.139413582154 -0.3581327337 -0.21008289842 -0.140287326776 -0.311386002886 -0.302928887378 -0.321442370806 -0.51336942146 -0.31058244051 -0.31933153986 -0.60259401954 -0.38189139184 -0.44563497948 -0.32741550684 -0.49988505024 -0.395686838556 -0.41449075052 -0.1873769742528 -0.35301283976 -0.259991381706 -0.3303034115 -0.406469866658 -0.40714168572 -0.583104330716 -0.63244940186
2 "WALKING" 0.175242032833333 -0.020798329100915 -0.103903710266667 -0.167986642178333 -0.02878279423 -0.258920473033333 0.876493881333333 -0.19646591593 -0.0539454068036667 -0.942367682333333 -0.9354084335 -0.9157144665 0.128724555878333 0.0340218219851667 0.0210856029583333 -0.24852448467 -0.191209524758333 -0.515794902516667 -0.0733697301583333 -0.0528333655383333 0.0846944360575 -0.426121338461667 -0.367671444308333 -0.314469027283333 -0.0671852833988333 -0.09905920985 -0.112774731013333 -0.480376532108333 -0.5559793486 -0.478431122081667 -0.08359988246 -0.17579057398 -0.280681907003333 -0.208959139065 -0.205597704428333 -0.343522895363333 -0.524647328616667 -0.541790914166667 -0.1832630058 -0.0538156897066667 -0.331263549971667 -0.164871092058333 -0.0794595296533333 -0.283021899716667 -0.2716572118 -0.233082278646667 -0.4725785803 -0.293878423383333 -0.201308515772867 -0.557933116266667 -0.350783725016667 -0.394763911466667 -0.27955359773 -0.4537743473 -0.362053955286667 -0.392716499566667 -0.143864246453333 -0.325656200933333 -0.19563973805 -0.235375758823333 -0.394297375933333 -0.425209120666667 -0.545676107383333 -0.569965380166667
